Well,Fluor,Sample,Cq,SQ,Target
F11,HEX,STD_10000,26.65129136,10000,BHC
F12,HEX,STD_10000,26.75292844,10000,BHC
G01,HEX,STD_10000,26.7336604,10000,BHC
G02,HEX,STD_10000,26.56068573,10000,BHC
G03,HEX,STD_10000,26.61044844,10000,BHC
G04,HEX,STD_10000,26.61686425,10000,BHC
G05,HEX,STD_10000,26.55956292,10000,BHC
G06,HEX,STD_10000,26.5295573,10000,BHC
G07,HEX,STD_10000,26.56750669,10000,BHC
G08,HEX,STD_10000,26.62871231,10000,BHC
G09,HEX,STD_10000,26.58365878,10000,BHC
G10,HEX,STD_10000,26.62846832,10000,BHC
G11,HEX,STD_10000,26.72117473,10000,BHC
G12,HEX,STD_10000,26.83976383,10000,BHC
H01,HEX,STD_10000,26.8721577,10000,BHC
H02,HEX,STD_10000,26.76570246,10000,BHC
H03,HEX,STD_10000,26.62683669,10000,BHC
H04,HEX,STD_10000,26.69433398,10000,BHC
H05,HEX,STD_10000,26.48308277,10000,BHC
H06,HEX,STD_10000,26.54928047,10000,BHC
H07,HEX,STD_10000,26.56587006,10000,BHC
H08,HEX,STD_10000,26.66140334,10000,BHC
H09,HEX,STD_10000,26.70650367,10000,BHC
H10,HEX,STD_10000,26.83238857,10000,BHC
H11,HEX,STD_10000,26.80878083,10000,BHC
H12,HEX,STD_10000,26.92546097,10000,BHC
A01,FAM,STD_1000,29.65710077,1000,SVC
A02,FAM,STD_1000,29.62634942,1000,SVC
A03,FAM,STD_1000,29.57661223,1000,SVC
A04,FAM,STD_1000,29.50729902,1000,SVC
A05,FAM,STD_1000,29.75320793,1000,SVC
A06,FAM,STD_1000,29.66756174,1000,SVC
A07,FAM,STD_1000,29.67683587,1000,SVC
A08,FAM,STD_1000,29.76703748,1000,SVC
A09,FAM,STD_1000,29.81644363,1000,SVC
A10,FAM,STD_1000,29.93457157,1000,SVC
A11,FAM,STD_1000,29.95429239,1000,SVC
A12,FAM,STD_1000,29.87427837,1000,SVC
B01,FAM,STD_1000,29.70865059,1000,SVC
B02,FAM,STD_1000,29.61056042,1000,SVC
B03,FAM,STD_1000,29.50010486,1000,SVC
B04,FAM,STD_1000,29.46671391,1000,SVC
B05,FAM,STD_1000,29.45432375,1000,SVC
B06,FAM,STD_1000,29.62537542,1000,SVC
B07,FAM,STD_1000,29.49057822,1000,SVC
B08,FAM,STD_1000,29.52057156,1000,SVC
B09,FAM,STD_1000,29.62257516,1000,SVC
B10,FAM,STD_1000,29.65181151,1000,SVC
B11,FAM,STD_1000,29.65765915,1000,SVC
B12,FAM,STD_1000,29.85422997,1000,SVC
C01,FAM,STD_1000,29.63250318,1000,SVC
C02,FAM,STD_1000,29.55674637,1000,SVC
C03,FAM,STD_1000,29.42088859,1000,SVC
C04,FAM,STD_1000,29.43920335,1000,SVC
C05,FAM,STD_1000,29.34550575,1000,SVC
C06,FAM,STD_1000,29.53348867,1000,SVC
C07,FAM,STD_1000,29.42467161,1000,SVC
C08,FAM,STD_1000,29.49409768,1000,SVC
C09,FAM,STD_1000,29.51959306,1000,SVC
C10,FAM,STD_1000,29.6567575,1000,SVC
C11,FAM,STD_1000,29.61989984,1000,SVC
C12,FAM,STD_1000,29.78481826,1000,SVC
D01,FAM,STD_1000,29.59656299,1000,SVC
D02,FAM,STD_1000,29.54623835,1000,SVC
D03,FAM,STD_1000,29.60381817,1000,SVC
D04,FAM,STD_1000,29.42613028,1000,SVC
D05,FAM,STD_1000,29.41714924,1000,SVC
D06,FAM,STD_1000,29.59063167,1000,SVC
D07,FAM,STD_1000,29.47724451,1000,SVC
D08,FAM,STD_1000,29.67331374,1000,SVC
D09,FAM,STD_1000,29.60057907,1000,SVC
D10,FAM,STD_1000,29.66573939,1000,SVC
D11,FAM,STD_1000,29.80619339,1000,SVC
D12,FAM,STD_1000,29.75625319,1000,SVC
E01,FAM,STD_1000,29.68748744,1000,SVC
E02,FAM,STD_1000,29.55268153,1000,SVC
E03,FAM,STD_1000,29.51223624,1000,SVC
E04,FAM,STD_1000,29.45220452,1000,SVC
E05,FAM,STD_1000,29.3674889,1000,SVC
E06,FAM,STD_1000,29.54767032,1000,SVC
E07,FAM,STD_1000,29.47984914,1000,SVC
E08,FAM,STD_1000,29.53771748,1000,SVC
E09,FAM,STD_1000,29.74244372,1000,SVC
E10,FAM,STD_1000,29.73241458,1000,SVC
E11,FAM,STD_1000,29.71189683,1000,SVC
E12,FAM,STD_1000,29.8427729,1000,SVC
F01,FAM,STD_1000,29.73740986,1000,SVC
F02,FAM,STD_1000,29.53055206,1000,SVC
F03,FAM,STD_1000,29.39205941,1000,SVC
F04,FAM,STD_1000,29.4570993,1000,SVC
F05,FAM,STD_1000,29.51229587,1000,SVC
F06,FAM,STD_1000,29.4299661,1000,SVC
F07,FAM,STD_1000,29.46885043,1000,SVC
F08,FAM,STD_1000,29.56851319,1000,SVC
F09,FAM,STD_1000,29.46477751,1000,SVC
F10,FAM,STD_1000,29.58154162,1000,SVC
F11,FAM,STD_1000,29.50775201,1000,SVC
F12,FAM,STD_1000,29.66668606,1000,SVC
G01,FAM,STD_1000,29.81396961,1000,SVC
G02,FAM,STD_1000,29.57756055,1000,SVC
G03,FAM,STD_1000,29.54274333,1000,SVC
G04,FAM,STD_1000,29.50238619,1000,SVC
G05,FAM,STD_1000,29.49349273,1000,SVC
G06,FAM,STD_1000,29.39430714,1000,SVC
G07,FAM,STD_1000,29.48409357,1000,SVC
G08,FAM,STD_1000,29.56295208,1000,SVC
G09,FAM,STD_1000,29.49903785,1000,SVC
G10,FAM,STD_1000,29.53840816,1000,SVC
G11,FAM,STD_1000,29.61339004,1000,SVC
